"title","category","quantity","totalPrice","perUnit","url"
"Matte Business Cards","Business Cards","50","10","0.2","https://www.vistaprint.com/business-cards/matte"
"Matte Business Cards","Business Cards","100","14.99","0.15","https://www.vistaprint.com/business-cards/matte"
"Matte Business Cards","Business Cards","250","19.99","0.08","https://www.vistaprint.com/business-cards/matte"
"Matte Business Cards","Business Cards","500","24.99","0.05","https://www.vistaprint.com/business-cards/matte"
"Matte Business Cards","Business Cards","1000","39.99","0.04","https://www.vistaprint.com/business-cards/matte"
"Glossy Business Cards","Business Cards","50","10","0.2","https://www.vistaprint.com/business-cards/glossy"
"Glossy Business Cards","Business Cards","100","15.99","0.16","https://www.vistaprint.com/business-cards/glossy"
"Glossy Business Cards","Business Cards","250","21.99","0.09","https://www.vistaprint.com/business-cards/glossy"
"Glossy Business Cards","Business Cards","500","27.99","0.06","https://www.vistaprint.com/business-cards/glossy"
"Glossy Business Cards","Business Cards","1000","45.99","0.05","https://www.vistaprint.com/business-cards/glossy"
"Uncoated Business Cards","Business Cards","100","15.99","0.16","https://www.vistaprint.com/business-cards/uncoated"
"Rounded Corner Business Cards","Business Cards","50","16","0.32","https://www.vistaprint.com/business-cards/rounded-corner"
"Rounded Corner Business Cards","Business Cards","100","22.99","0.23","https://www.vistaprint.com/business-cards/rounded-corner"
"Rounded Corner Business Cards","Business Cards","250","31.99","0.13","https://www.vistaprint.com/business-cards/rounded-corner"
"Rounded Corner Business Cards","Business Cards","500","39.99","0.08","https://www.vistaprint.com/business-cards/rounded-corner"
"Rounded Corner Business Cards","Business Cards","1000","65.99","0.07","https://www.vistaprint.com/business-cards/rounded-corner"
"Square Business Cards","Business Cards","50","18","0.36","https://www.vistaprint.com/business-cards/square"
"Square Business Cards","Business Cards","100","26.99","0.27","https://www.vistaprint.com/business-cards/square"
"Square Business Cards","Business Cards","250","35.99","0.15","https://www.vistaprint.com/business-cards/square"
"Square Business Cards","Business Cards","500","45.99","0.1","https://www.vistaprint.com/business-cards/square"
"Square Business Cards","Business Cards","1000","70.99","0.08","https://www.vistaprint.com/business-cards/square"
"Circle Business Cards","Business Cards","50","39.99","0.8","https://www.vistaprint.com/business-cards/circle"
"Oval Business Cards","Business Cards","50","39.99","0.8","https://www.vistaprint.com/business-cards/oval"
"Leaf Business Cards","Business Cards","50","39.99","0.8","https://www.vistaprint.com/business-cards/leaf"
"Natural Textured Business Cards","Business Cards","100","29.99","0.3","https://www.vistaprint.com/business-cards/natural-textured"
"Soft Touch Business Cards","Business Cards","100","33.99","0.34","https://www.vistaprint.com/business-cards/soft-touch"
"Cotton Business Cards","Business Cards","100","28.99","0.29","https://www.vistaprint.com/business-cards/cotton"
"Linen Business Cards","Business Cards","100","33.99","0.34","https://www.vistaprint.com/business-cards/linen"
"Kraft Business Cards","Business Cards","100","33.99","0.34","https://www.vistaprint.com/business-cards/kraft"
"Premium Plus Business Cards","Business Cards","50","22.99","0.46","https://www.vistaprint.com/business-cards/premium-plus"
"Premium Plus Business Cards","Business Cards","100","27.99","0.28","https://www.vistaprint.com/business-cards/premium-plus"
"Premium Plus Business Cards","Business Cards","250","38.99","0.16","https://www.vistaprint.com/business-cards/premium-plus"
"Premium Plus Business Cards","Business Cards","500","46.99","0.1","https://www.vistaprint.com/business-cards/premium-plus"
"Premium Plus Business Cards","Business Cards","1000","79.99","0.08","https://www.vistaprint.com/business-cards/premium-plus"
"Painted Edge Business Cards","Business Cards","50","39.99","0.8","https://www.vistaprint.com/business-cards/painted-edge"
"Ultra Thick Business Cards","Business Cards","50","26.99","0.54","https://www.vistaprint.com/business-cards/ultra-thick"
"Ultra Thick Business Cards","Business Cards","100","37.99","0.38","https://www.vistaprint.com/business-cards/ultra-thick"
"Ultra Thick Business Cards","Business Cards","250","81.99","0.33","https://www.vistaprint.com/business-cards/ultra-thick"
"Ultra Thick Business Cards","Business Cards","500","143.99","0.29","https://www.vistaprint.com/business-cards/ultra-thick"
"Ultra Thick Business Cards","Business Cards","1000","241.99","0.25","https://www.vistaprint.com/business-cards/ultra-thick"
"Foil Accent Business Cards","Business Cards","100","29.99","0.3","https://www.vistaprint.com/business-cards/metallic"
"Foil Accent Business Cards","Business Cards","250","40.99","0.17","https://www.vistaprint.com/business-cards/metallic"
"Foil Accent Business Cards","Business Cards","500","48.99","0.1","https://www.vistaprint.com/business-cards/metallic"
"Foil Accent Business Cards","Business Cards","1000","79.99","0.08","https://www.vistaprint.com/business-cards/metallic"
"Foil Accent Business Cards","Business Cards","1500","120.99","0.08","https://www.vistaprint.com/business-cards/metallic"
"Embossed Gloss Business Cards","Business Cards","100","28.99","0.29","https://www.vistaprint.com/business-cards/raised-print"
"Raised Foil Business Cards","Business Cards","100","34.99","0.35","https://www.vistaprint.com/business-cards/raised-foil"
"QR Code Business Cards","Business Cards","100","15.99","0.16","https://www.vistaprint.com/business-cards/qr-code"
