"ourSlug","ourCategory","title","quantity","totalPrice","perUnit","url"
"flyers","marketing-materials","Custom Flyers","25","9","0.36","https://www.vistaprint.com/marketing-materials/flyers"
"flyers","marketing-materials","Custom Flyers","50","13","0.26","https://www.vistaprint.com/marketing-materials/flyers"
"flyers","marketing-materials","Custom Flyers","100","20","0.2","https://www.vistaprint.com/marketing-materials/flyers"
"flyers","marketing-materials","Custom Flyers","250","32.5","0.13","https://www.vistaprint.com/marketing-materials/flyers"
"flyers","marketing-materials","Custom Flyers","500","45","0.09","https://www.vistaprint.com/marketing-materials/flyers"
"flyers","marketing-materials","Custom Flyers","750","60","0.08","https://www.vistaprint.com/marketing-materials/flyers"
"flyers","marketing-materials","Custom Flyers","1000","70","0.07","https://www.vistaprint.com/marketing-materials/flyers"
"posters","marketing-materials","Custom Posters","1","4.99","4.99","https://www.vistaprint.com/signs-posters/posters"
"posters","marketing-materials","Custom Posters","2","9","4.5","https://www.vistaprint.com/signs-posters/posters"
"posters","marketing-materials","Custom Posters","3","12","4","https://www.vistaprint.com/signs-posters/posters"
"posters","marketing-materials","Custom Posters","4","16","4","https://www.vistaprint.com/signs-posters/posters"
"posters","marketing-materials","Custom Posters","5","19","3.8","https://www.vistaprint.com/signs-posters/posters"
"posters","marketing-materials","Custom Posters","10","22","2.2","https://www.vistaprint.com/signs-posters/posters"
"posters","marketing-materials","Custom Posters","20","40","2","https://www.vistaprint.com/signs-posters/posters"
"brochures","marketing-materials","Bi-Fold Brochures","25","19.99","0.8","https://www.vistaprint.com/marketing-materials/brochures/bi-fold"
"brochures","marketing-materials","Bi-Fold Brochures","50","40","0.8","https://www.vistaprint.com/marketing-materials/brochures/bi-fold"
"brochures","marketing-materials","Bi-Fold Brochures","100","65","0.65","https://www.vistaprint.com/marketing-materials/brochures/bi-fold"
"brochures","marketing-materials","Bi-Fold Brochures","250","120","0.48","https://www.vistaprint.com/marketing-materials/brochures/bi-fold"
"brochures","marketing-materials","Bi-Fold Brochures","500","190","0.38","https://www.vistaprint.com/marketing-materials/brochures/bi-fold"
"brochures","marketing-materials","Bi-Fold Brochures","750","225","0.3","https://www.vistaprint.com/marketing-materials/brochures/bi-fold"
"brochures","marketing-materials","Bi-Fold Brochures","1000","250","0.25","https://www.vistaprint.com/marketing-materials/brochures/bi-fold"
"postcards","marketing-materials","Standard Postcards","25","15","0.6","https://www.vistaprint.com/marketing-materials/standard-postcards"
"postcards","marketing-materials","Standard Postcards","50","19","0.38","https://www.vistaprint.com/marketing-materials/standard-postcards"
"postcards","marketing-materials","Standard Postcards","100","21.99","0.22","https://www.vistaprint.com/marketing-materials/standard-postcards"
"postcards","marketing-materials","Standard Postcards","250","35","0.14","https://www.vistaprint.com/marketing-materials/standard-postcards"
